,rid,time_dep,delay,day_of_week,weekend,day_segment,rush_hour,arrival_time
0,201901027627525,21600.0,0.0,2,0,1,1.0,0.0
1,201901027627735,73800.0,0.0,2,0,4,0.0,0.0
2,201901027628974,84540.0,0.0,2,0,4,0.0,900.0
3,201901027628976,81120.0,120.0,2,0,4,0.0,3900.0
4,201901027628978,77400.0,0.0,2,0,4,0.0,0.0
5,201901027628980,75540.0,0.0,2,0,4,0.0,0.0
6,201901027628983,71940.0,0.0,2,0,3,0.0,360.0
7,201901027628985,70200.0,0.0,2,0,3,0.0,0.0
8,201901027628987,68340.0,0.0,2,0,3,1.0,240.0
9,201901027628989,66600.0,0.0,2,0,3,1.0,0.0
10,201901027628991,65400.0,0.0,2,0,3,1.0,0.0
11,201901027628993,64260.0,60.0,2,0,3,1.0,300.0
12,201901027628995,63000.0,0.0,2,0,3,1.0,360.0
13,201901027628997,61380.0,60.0,2,0,3,1.0,0.0
14,201901027628999,61260.0,60.0,2,0,3,1.0,60.0
15,201901027629001,59340.0,0.0,2,0,3,1.0,0.0
16,201901027629003,57660.0,60.0,2,0,3,1.0,0.0
17,201901027629005,55740.0,0.0,2,0,3,0.0,300.0
18,201901027629009,52200.0,0.0,2,0,2,0.0,0.0
19,201901027629011,50340.0,0.0,2,0,2,0.0,60.0
20,201901027629013,48600.0,0.0,2,0,2,0.0,180.0
21,201901027629015,46800.0,0.0,2,0,2,0.0,0.0
22,201901027629017,45180.0,180.0,2,0,2,0.0,1080.0
23,201901027629019,44160.0,960.0,2,0,2,0.0,1380.0
24,201901027629021,43380.0,1980.0,2,0,2,0.0,1920.0
25,201901027629023,42120.0,2520.0,2,0,2,0.0,2940.0
26,201901027629025,40680.0,2880.0,2,0,2,0.0,3540.0
27,201901027629027,36300.0,300.0,2,0,2,0.0,4440.0
28,201901027629028,35160.0,960.0,2,0,1,0.0,1500.0
29,201901027629030,33600.0,1200.0,2,0,1,0.0,1140.0
30,201901027629032,30900.0,300.0,2,0,1,1.0,720.0
31,201901027629034,28680.0,180.0,2,0,1,1.0,60.0
32,201901027629035,27060.0,60.0,2,0,1,1.0,300.0
33,201901027629037,25200.0,0.0,2,0,1,1.0,180.0
34,201901027629039,23160.0,60.0,2,0,1,1.0,660.0
35,201901037627500,73920.0,120.0,3,0,4,0.0,660.0
36,201901037627729,21600.0,0.0,3,0,1,1.0,300.0
37,201901037628974,84600.0,0.0,3,0,4,0.0,0.0
38,201901037628976,80940.0,0.0,3,0,4,0.0,600.0
39,201901037628978,77520.0,120.0,3,0,4,0.0,480.0
40,201901037628980,75540.0,0.0,3,0,4,0.0,1080.0
41,201901037628983,72000.0,0.0,3,0,4,0.0,900.0
42,201901037628985,70200.0,0.0,3,0,3,0.0,660.0
43,201901037628987,68400.0,0.0,3,0,3,0.0,960.0
44,201901037628989,66720.0,120.0,3,0,3,1.0,660.0
45,201901037628991,65520.0,120.0,3,0,3,1.0,300.0
46,201901037628993,64320.0,120.0,3,0,3,1.0,180.0
47,201901037628995,63120.0,120.0,3,0,3,1.0,720.0
48,201901037628997,61380.0,60.0,3,0,3,1.0,600.0
49,201901037628999,61260.0,60.0,3,0,3,1.0,180.0
50,201901037629001,59400.0,0.0,3,0,3,1.0,240.0
51,201901037629003,57600.0,0.0,3,0,3,1.0,540.0
52,201901037629005,55800.0,0.0,3,0,3,0.0,660.0
53,201901037629007,54000.0,0.0,3,0,3,0.0,0.0
54,201901037629009,52140.0,0.0,3,0,2,0.0,0.0
55,201901037629011,50400.0,0.0,3,0,2,0.0,120.0
56,201901037629013,48600.0,0.0,3,0,2,0.0,0.0
57,201901037629015,46800.0,0.0,3,0,2,0.0,0.0
58,201901037629017,45000.0,0.0,3,0,2,0.0,360.0
59,201901037629019,43200.0,0.0,3,0,2,0.0,0.0
60,201901037629021,41400.0,0.0,3,0,2,0.0,480.0
61,201901037629023,39600.0,0.0,3,0,2,0.0,0.0
62,201901037629025,37860.0,60.0,3,0,2,0.0,0.0
63,201901037629027,36000.0,0.0,3,0,2,0.0,0.0
64,201901037629028,34320.0,120.0,3,0,1,0.0,0.0
65,201901037629030,32460.0,60.0,3,0,1,0.0,60.0
66,201901037629032,30540.0,0.0,3,0,1,1.0,60.0
67,201901037629034,28500.0,0.0,3,0,1,1.0,420.0
68,201901037629035,27000.0,0.0,3,0,1,1.0,1380.0
69,201901037629037,25200.0,0.0,3,0,1,1.0,900.0
70,201901037629039,23040.0,0.0,3,0,1,1.0,1200.0
71,201901047627500,73800.0,0.0,4,0,4,0.0,60.0
72,201901047627729,21540.0,0.0,4,0,1,1.0,180.0
73,201901047628974,84600.0,0.0,4,0,4,0.0,60.0
74,201901047628976,81000.0,0.0,4,0,4,0.0,0.0
75,201901047628978,77400.0,0.0,4,0,4,0.0,0.0
76,201901047628980,75540.0,0.0,4,0,4,0.0,180.0
77,201901047628983,72000.0,0.0,4,0,4,0.0,1020.0
78,201901047628985,70140.0,0.0,4,0,3,0.0,60.0
79,201901047628987,68340.0,0.0,4,0,3,1.0,60.0
80,201901047628989,66600.0,0.0,4,0,3,1.0,60.0
81,201901047628991,65460.0,60.0,4,0,3,1.0,60.0
82,201901047628993,64200.0,0.0,4,0,3,1.0,60.0
83,201901047628995,63060.0,60.0,4,0,3,1.0,0.0
84,201901047628997,61380.0,60.0,4,0,3,1.0,0.0
85,201901047628999,61260.0,60.0,4,0,3,1.0,0.0
86,201901047629001,59340.0,0.0,4,0,3,1.0,0.0
87,201901047629003,57540.0,0.0,4,0,3,0.0,60.0
88,201901047629005,55860.0,60.0,4,0,3,0.0,120.0
89,201901047629007,53940.0,0.0,4,0,2,0.0,0.0
90,201901047629009,52200.0,0.0,4,0,2,0.0,300.0
91,201901047629011,50340.0,0.0,4,0,2,0.0,300.0
92,201901047629013,48540.0,0.0,4,0,2,0.0,120.0
93,201901047629015,46800.0,0.0,4,0,2,0.0,180.0
94,201901047629017,45000.0,0.0,4,0,2,0.0,300.0
95,201901047629019,43140.0,0.0,4,0,2,0.0,0.0
96,201901047629021,41400.0,0.0,4,0,2,0.0,120.0
97,201901047629023,39540.0,0.0,4,0,2,0.0,0.0
98,201901047629025,37800.0,0.0,4,0,2,0.0,0.0
99,201901047629027,35940.0,0.0,4,0,1,0.0,0.0
100,201901047629028,34140.0,0.0,4,0,1,0.0,60.0
101,201901047629030,32340.0,0.0,4,0,1,1.0,0.0
102,201901047629032,30660.0,60.0,4,0,1,1.0,300.0
103,201901047629034,28620.0,120.0,4,0,1,1.0,0.0
104,201901047629035,26940.0,0.0,4,0,1,1.0,0.0
105,201901047629037,25260.0,60.0,4,0,1,1.0,480.0
106,201901047629039,23040.0,0.0,4,0,1,1.0,480.0
107,201901057627051,84600.0,0.0,5,1,4,0.0,0.0
108,201901057627053,80940.0,0.0,5,1,4,0.0,0.0
109,201901057627054,77340.0,0.0,5,1,4,0.0,0.0
110,201901057627056,73920.0,120.0,5,1,4,0.0,0.0
111,201901057627058,71940.0,0.0,5,1,3,0.0,0.0
112,201901057627060,70140.0,0.0,5,1,3,0.0,0.0
113,201901057627062,68400.0,0.0,5,1,3,0.0,0.0
114,201901057627064,66600.0,0.0,5,1,3,1.0,0.0
115,201901057627066,64740.0,0.0,5,1,3,1.0,0.0
116,201901057627069,62940.0,0.0,5,1,3,1.0,0.0
117,201901057627072,61200.0,0.0,5,1,3,1.0,300.0
118,201901057627074,59400.0,0.0,5,1,3,1.0,0.0
119,201901057627076,57540.0,0.0,5,1,3,0.0,60.0
120,201901057627078,55740.0,0.0,5,1,3,0.0,0.0
121,201901057627080,53940.0,0.0,5,1,2,0.0,0.0
